2026-06-22 14:20:23,145 | INFO | app.main | Display candles BTCUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:23,485 | INFO | app.market_data | Candle pipeline BTCUSDT 5m: raw_api=505 normalize=505 (dropna=0 dup=0) flat=411 after_tail=500
2026-06-22 14:20:23,763 | INFO | app.market_data | OHLC resolve BTCUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:20:23,767 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:20:23,922 | INFO | app.main | Display candles BTCUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:24,148 | INFO | app.market_data | Candle pipeline BTCUSDT 15m: raw_api=509 normalize=509 (dropna=0 dup=0) flat=207 after_tail=500
2026-06-22 14:20:24,565 | INFO | app.market_data | OHLC resolve BTCUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:20:24,569 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:20:24,727 | INFO | app.main | Display candles BTCUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:25,073 | INFO | app.market_data | Candle pipeline BTCUSDT 1h: raw_api=510 normalize=510 (dropna=0 dup=0) flat=15 after_tail=500
2026-06-22 14:20:25,367 | INFO | app.market_data | OHLC resolve BTCUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:20:25,370 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:20:25,520 | INFO | app.main | Display candles BTCUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:25,980 | INFO | app.market_data | Candle pipeline ETHUSDT 1m: raw_api=496 normalize=496 (dropna=0 dup=0) flat=481 after_tail=496
2026-06-22 14:20:26,269 | INFO | app.market_data | OHLC resolve ETHUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:20:26,269 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:20:26,430 | INFO | app.main | Display candles ETHUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:27,143 | INFO | app.market_data | Candle pipeline ETHUSDT 5m: raw_api=507 normalize=507 (dropna=0 dup=0) flat=420 after_tail=500
2026-06-22 14:20:27,430 | INFO | app.market_data | OHLC resolve ETHUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:20:27,446 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:20:27,649 | INFO | app.main | Display candles ETHUSDT 5m: flat_before=0 enriched=0 flat_after=0
